"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8"
"COX14",2299.98611770164,0.772859583667228,0.231999048339951,3.33130497386674,0.000864398453266366,0.0275830687787381,"Up"
"COX6A1",4992.47727415734,0.725114296888523,0.204690316600937,3.54249438336744,0.000396361863444481,0.0206587234767224,"Up"
"COX7C",17261.8719927889,0.393314114015887,0.132862886752124,2.96030083065767,0.0030733877263006,0.0460606170062935,"Up"
"COX8A",9114.2452230925,0.830052667687417,0.274790264754266,3.02067712780764,0.0025221014256026,0.041937422649466,"Up"
"CRAMP1",574.763720703433,0.342150932823837,0.102708120234608,3.33129388447856,0.000864432891748774,0.0275830687787381,"Up"
"CTSL",2991.1353105471,0.43056158612372,0.134591107140978,3.19903443303076,0.00137888698882688,0.0329996584988851,"Up"
"CYSTM1",1055.1499098878,0.473449275485338,0.143210150163669,3.30597569337265,0.00094646297667786,0.0289217086162809,"Up"
"DAP3",5946.85016797774,0.27213481256876,0.0921624557242977,2.95277301836278,0.0031493343959607,0.0467540762387382,"Up"
"DAZAP2",5684.233788331,0.217028441132076,0.0726113026063262,2.98890714450794,0.00279977204014233,0.0443320688366255,"Up"
"DCTN3",2559.16589044392,0.648352917433153,0.19381872821853,3.34515102535466,0.000822377769601743,0.0268569234784888,"Up"
"DDB2",1054.70484039487,0.755723550637889,0.254799219132255,2.96595709049495,0.00301742585737431,0.0456562250976541,"Up"
"DENND2A",24.6312868293863,1.89766767802577,0.535819437421956,3.54161783894257,0.000397681182395397,0.0206587234767224,"Up"
"DGUOK",1357.9148050581,0.449576716834021,0.130816566068708,3.4366955986132,0.000588856997528382,0.0246514714438557,"Up"
"DHRS1",1130.5999270213,0.316955950322711,0.0986688864183336,3.21231911931072,0.00131668031403402,0.0324763966303028,"Up"
"DLGAP2",52.6130189963429,0.956759515135819,0.287357443698061,3.32951011403459,0.000869989044274171,0.0276205085995759,"Up"
"DNASE1L3",242.672828894386,0.540360599767609,0.172852978051805,3.12612837717878,0.00177124211668821,0.0372700094135862,"Up"
"DNTTIP1",1056.59542950618,0.283887212304709,0.0740213293065027,3.8352082428729,0.000125457952782782,0.0122579227664666,"Up"
"DSN1",1183.11586775155,0.660467586427316,0.221130527730745,2.98677705518579,0.00281935244144266,0.0444594521657526,"Up"
"DYNLT3",1198.95385417682,0.28615086473196,0.096817217750489,2.95557826779747,0.00312083502387439,0.0464952773533248,"Up"
"EEF1AKMT2",574.253682196427,0.547112864304639,0.183523391360616,2.98116147619343,0.00287157333741158,0.0447937009217024,"Up"
"EFHB",48.147810375539,1.56892978547689,0.530493893553014,2.95748886941731,0.0031015594650873,0.0463176013009008,"Up"
"EID2B",260.673037228133,0.405862017703192,0.131803784052363,3.07928957139767,0.00207494894387956,0.039151490094271,"Up"
"ELOC",3163.89595105113,0.368034592465341,0.12353660179116,2.97915425168896,0.00289045229084589,0.0449011170285432,"Up"
"EMC10",7752.99072691584,0.267443591287359,0.0589917994904699,4.53357235407888,5.79943875740627e-06,0.00231738905742252,"Up"
"EMC7",2830.53578788432,0.423159046175185,0.0860420379185785,4.91805001847609,8.74105800975075e-07,0.000786944965392132,"Up"
"ENPP3",206.833806310543,0.543109097828745,0.172622215086419,3.14622945579078,0.00165390195879507,0.0361146402382001,"Up"
"ENSA",9939.32167560138,0.283661872563862,0.0646824523080021,4.38545327893775,1.157445002763e-05,0.003558155320689,"Up"
"ERH",5979.77851129436,0.3145046544914,0.0826126448803055,3.80697960883681,0.000140674339227563,0.0127558228174403,"Up"
"FAM177A1",2810.68633293468,0.311776094718134,0.0728338447444609,4.28064858874342,1.86349416274328e-05,0.00493463226754126,"Up"
"FBXO2",1274.53065359879,0.619360741744046,0.188229114706396,3.2904619602028,0.00100023024635482,0.0290766920990994,"Up"
"FCHSD1",43.248116340691,0.918623412833951,0.293735444692774,3.12738360123602,0.00176369642258732,0.0371732938299174,"Up"
"FKBP6",18.4275729481446,1.99844098157486,0.649917989061565,3.07491255082887,0.00210564282963781,0.039151490094271,"Up"
"GALT",698.798224126449,0.321109628775064,0.104144965362733,3.08329478680654,0.00204722251078334,0.0389776322143705,"Up"
"GATM",48.5800395415336,0.688859214206219,0.212619477453174,3.23986881379637,0.00119584703761,0.0314701229996594,"Up"
"GCA",800.587612774482,0.346353109969934,0.10541262948932,3.28568893165714,0.0010173329094738,0.0290766920990994,"Up"
"GDPGP1",293.127775856449,0.735242430259371,0.229846106617313,3.1988465720828,0.00137978578458525,0.0329996584988851,"Up"
"GINS1",1736.19177161534,0.355530853031024,0.121558815634184,2.92476404262566,0.00344717495328407,0.0478504329418418,"Up"
"GLOD4",2952.17139164252,0.281186430992395,0.0906219712009586,3.10285052582724,0.00191666419350149,0.0383098495659146,"Up"
"GNG10",35.957291107574,0.912768432458928,0.287296163299028,3.17709927615318,0.00148756105475036,0.034588553932995,"Up"
"GOLT1A",219.406008501192,0.478047445566063,0.143368568693832,3.33439504851966,0.000854851533170675,0.0274860936838857,"Up"
"GPN2",1160.73626489875,0.306166998823172,0.0943826651290323,3.24389016144655,0.00117909204783849,0.0313657552114161,"Up"
"GRB7",347.641658757663,0.539635164947401,0.182370017516408,2.95901251914312,0.00308626563196657,0.0461986841155661,"Up"
"HDAC8",434.784075549162,0.562327590460584,0.130810362772869,4.29880002272429,1.71725326523307e-05,0.0047052739467386,"Up"
"HELLS",938.755382006494,0.65467528317755,0.19465571884091,3.36324710661396,0.000770313781224409,0.0266229907014699,"Up"
"HES1",549.210022228152,0.734330300248334,0.1853673783753,3.96148614003477,7.44847064180562e-05,0.0105483734796987,"Up"
"HEXA",737.922681485607,0.659122782263973,0.192772601096632,3.41917253029942,0.000628118862592723,0.0250260218951799,"Up"
"HIGD1A",2095.86821773039,0.550212056935376,0.144795691347568,3.7999200930271,0.000144742752124728,0.012800367374734,"Up"
"HLA-A",2586.48102733281,0.661111210577822,0.171138621145748,3.86301587655539,0.000111995725934945,0.0118621355435634,"Up"
"HLA-B",1358.01588925651,0.803049508308123,0.225214447423375,3.56571044839984,0.000362871838495373,0.0203272740106475,"Up"
"HMGB1",13589.7807924076,0.314100812266113,0.0981232839091171,3.20108336933603,0.00136911912456822,0.0329996584988851,"Up"
"HMGB2",6101.59376421822,0.486169749405728,0.1660200388838,2.92837992735326,0.00340733410122979,0.0478504329418418,"Up"
"HMGCS2",572.486630956988,0.498761124461323,0.160375758176886,3.10995333790544,0.00187116901285482,0.0382868300643603,"Up"
"HMGN2",9314.23014706119,0.441880377244389,0.115037535090161,3.84118433081917,0.000122442122560805,0.0121888701471769,"Up"
"HMGN3",1872.01268322796,0.571855801462317,0.182090506162126,3.14050311306818,0.00168657915005631,0.0363970922812828,"Up"
"HOXB7",139.625839519503,0.853161309426478,0.274878738957196,3.10377336807897,0.00191069629565873,0.0382868300643603,"Up"
"HOXC4",526.532341145264,0.716321587516211,0.20627813140263,3.47260071945309,0.000515441565928707,0.0229926226516987,"Up"
