"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","...9","...10"
"DNAJB4",-0.948113800610813,2.64532445696368,-6.9609596713269,2.40749711436478e-10,3.85410537169037e-09,13.0781856542578,"Down",NA,"'DNAJB4',"
"SH3PXD2B",-0.948696832524443,2.52138050461412,-8.25547311774723,3.2883238971899e-13,1.27199749266052e-11,19.5539490073611,"Down",NA,"'SH3PXD2B',"
"KIAA1210",-0.949058672585543,1.16530001676332,-9.36242569877934,9.64196350436749e-16,8.80600526853883e-14,25.2959058247809,"Down",NA,"'KIAA1210',"
"S100A2",-0.950189011612024,1.88051992928894,-4.89037677982333,3.38475142943935e-06,1.74945867600847e-05,3.78443890781975,"Down",NA,"'S100A2',"
"AOC3",-0.950347384415919,3.74994870966448,-5.00880418855145,2.05472501589377e-06,1.11303698518137e-05,4.26562999478516,"Down",NA,"'AOC3',"
"PDLIM7",-0.953453240837224,4.60537182367019,-5.3458232528351,4.78762162558295e-07,3.02646903046781e-06,5.67384455485134,"Down",NA,"'PDLIM7',"
"SLC40A1",-0.953736596748974,4.70292065431531,-6.0601295643628,1.86202140407468e-08,1.71516303413152e-07,8.82903032871309,"Down",NA,"'SLC40A1',"
"PRRG4",-0.953897452551699,2.55395218018148,-7.24198626814702,5.92075489124055e-11,1.15051605152553e-09,14.4529340486239,"Down",NA,"'PRRG4',"
"SCPEP1",-0.953918672464758,4.94678050554965,-8.1661921700596,5.23212582793003e-13,1.89623036454305e-11,19.0971843633244,"Down",NA,"'SCPEP1',"
"SCARA5",-0.954892394617307,0.845495656221012,-5.81680355801503,5.75582635387236e-08,4.67270774132589e-07,7.73023226065081,"Down",NA,"'SCARA5',"
"FADS1",-0.955812862841938,2.56275634921113,-7.3472257828985,3.48483960764413e-11,7.28307554613589e-10,14.9728070298894,"Down",NA,"'FADS1',"
"KLK1",-0.956725729957595,1.54715719454585,-4.34831015739413,3.03272105233547e-05,0.000124680807431825,1.68070135635581,"Down",NA,"'KLK1',"
"SOX2",-0.958808129160274,1.37057195544117,-5.5600816231741,1.84719365697488e-07,1.29772458993473e-06,6.59722597248353,"Down",NA,"'SOX2',"
"LY6D",-0.959110817365403,0.776038413218739,-4.34647757609657,3.05446376012929e-05,0.000125461738346125,1.67387937482429,"Down",NA,"'LY6D',"
"EDN3",-0.959124710646743,0.835615033031428,-8.19270690481679,4.55855403878236e-13,1.67538326101405e-11,19.2327094203459,"Down",NA,"'EDN3',"
"GNG11",-0.959237040428442,3.27556885099312,-5.50619047773481,2.35148289554188e-07,1.60628969969963e-06,6.36301174717283,"Down",NA,"'GNG11',"
"STEAP3",-0.960231835221032,2.64508144392516,-6.8756271659693,3.67154508406069e-10,5.62621161958495e-09,12.6648985449798,"Down",NA,"'STEAP3',"
"PAEP",-0.960564625431361,0.795947168998618,-2.49641715258638,0.0139983257930376,0.0289107420285589,-4.02884054336659,"Down",NA,"'PAEP',"
"CLIC4",-0.961202385498129,5.36722889029773,-7.3704975328998,3.09839313296521e-11,6.6348474755853e-10,15.0881176852576,"Down",NA,"'CLIC4',"
"PRKCA",-0.961637475441987,2.34030850727825,-6.26067152858572,7.23016414897095e-09,7.55527336070386e-08,9.7515376383218,"Down",NA,"'PRKCA',"
"ABO",-0.961841731561455,1.28130812939424,-6.15935950555398,1.16801582562958e-08,1.1495138508055e-07,9.28365655709139,"Down",NA,"'ABO',"
"PLIN4",-0.964556154037745,2.37411196503365,-5.65852481744767,1.18488957900408e-07,8.79089888305792e-07,7.02836684387602,"Down",NA,"'PLIN4',"
"B3GNT8",-0.964623758199161,1.27398829141724,-7.71551362503303,5.35405586205823e-12,1.42769612228257e-10,16.8115363451122,"Down",NA,"'B3GNT8',"
"GSTM4",-0.965049883658866,2.03142535142851,-10.3102007229005,6.1542867058648e-18,1.15462227933885e-15,30.2779229458501,"Down",NA,"'GSTM4',"
"KRT19",-0.965165329723062,6.9392119591143,-3.17268248236232,0.00194873254523944,0.00509235317186602,-2.23943802679293,"Down",NA,"'KRT19',"
"FAM110C",-0.966081463343315,1.76362414831323,-4.85071170776465,3.99447795057859e-06,2.02900818257143e-05,3.62493045909403,"Down",NA,"'FAM110C',"
"FCGR3B",-0.96668320842747,0.869221005422873,-3.79320258339586,0.000241333030623828,0.000791985112715567,-0.288548334366927,"Down",NA,"'FCGR3B',"
"FST",-0.966931804741038,1.83361235235688,-5.38023327213846,4.11407218879915e-07,2.64604375354244e-06,5.82071832516924,"Down",NA,"'FST',"
