"Gene","log2FC","rank","in_gene_set"
"RPL39",1.13785741413383,208,FALSE
"ABHD2",1.13574191978053,209,FALSE
"METTL26",1.13452001363893,210,FALSE
"PTRHD1",1.13350902574128,211,FALSE
"TRAF4",1.13191451656176,212,FALSE
"ALB",1.12364599841339,213,FALSE
"F5",1.12249832285462,214,FALSE
"MFSD3",1.12073232709975,215,FALSE
"SRM",1.11901157945583,216,FALSE
"KRT18",1.11847367149077,217,FALSE
"CPLX1",1.11694760293698,218,FALSE
"TPRN",1.11565793620651,219,FALSE
"MMP9",1.11538760880303,220,FALSE
"CYP2J2",1.11523667551133,221,FALSE
"BEND4",1.1146480659743,222,FALSE
"GRIN3A",1.1144691229442,223,FALSE
"NME1",1.11337327235493,224,FALSE
"TK1",1.10894157293041,225,FALSE
"SLC4A4",1.10539455090022,226,FALSE
"MSI1",1.10382127198203,227,FALSE
"SLC25A37",1.10266007547359,228,FALSE
"CAMSAP3",1.10124930164632,229,FALSE
"HMG20B",1.10030213805096,230,FALSE
"HAGHL",1.09982019416132,231,FALSE
"MEX3D",1.09914788249522,232,FALSE
"ZDHHC9",1.09896044114892,233,FALSE
"ULK3",1.09689946788861,234,FALSE
"ENTPD5",1.09636548772797,235,FALSE
"ALDH3B2",1.09548044934836,236,FALSE
"BDH1",1.090342546225,237,FALSE
"SERINC5",1.08894947757135,238,FALSE
"RABEP2",1.08807139265108,239,FALSE
"RPL26",1.0874345146356,240,FALSE
"CANT1",1.08297655789311,241,FALSE
"CBX4",1.08252282844602,242,FALSE
"PDIA5",1.0820685799714,243,FALSE
"UBE2C",1.08094973552461,244,FALSE
"CLDN8",1.08085372693284,245,FALSE
"SLC25A33",1.07914647518327,246,FALSE
"SCARB1",1.07274586660575,247,FALSE
"REPS2",1.06860374442109,248,FALSE
"ZP3",1.06820096397884,249,FALSE
"AR",1.06697119357047,250,FALSE
"FBXL8",1.06667405770365,251,FALSE
"CENPX",1.06529947261606,252,FALSE
"ZNF350",1.0645349212725,253,FALSE
"NUPR1",1.06159160791727,254,FALSE
"SLC25A22",1.06139581629683,255,FALSE
"B3GAT1",1.05976731813979,256,FALSE
"SAMD10",1.05933703660202,257,FALSE
"CRISP3",1.05632747935086,258,FALSE
"FZD8",1.05569351709507,259,FALSE
"ERBB3",1.05420066123477,260,FALSE
"ST14",1.05318538902026,261,FALSE
"REXO2",1.05089722055799,262,FALSE
"SOX4",1.04717960191444,263,FALSE
"CHRNA2",1.04625750156372,264,FALSE
"SLC27A2",1.04569893705374,265,FALSE
"DNAH5",1.04465437254732,266,FALSE
"CPNE7",1.04439490720541,267,FALSE
"SEZ6L2",1.044286162949,268,FALSE
"PAQR6",1.04307463038916,269,FALSE
"LFNG",1.04257659199848,270,FALSE
"APOD",1.04040331329084,271,FALSE
"GABRB3",1.04021745225003,272,FALSE
"COL9A2",1.03929306494696,273,FALSE
"ANKRD34B",1.03888600343312,274,FALSE
"ASPN",1.03480843859678,275,FALSE
"ADAM2",1.03277688004597,276,FALSE
"BIRC5",1.0325438621567,277,FALSE
"UCN",1.03005655341604,278,FALSE
"MIPEP",1.02992643748382,279,FALSE
"C4orf48",1.02893645671875,280,FALSE
