"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8","...9","...10"
"IL3RA",34.4994941794799,1.32359077095309,0.420910416807484,3.14459019805745,0.00166319631141193,0.0361429763948896,"up",NA,"'IL3RA',"
"CCDC144NL",34.6110327962002,1.31559277831015,0.370643783435378,3.54948022091816,0.000385992461176908,0.0206587234767224,"up",NA,"'CCDC144NL',"
"SNCAIP",18.9725180147902,1.24426093687548,0.360303099196922,3.45337283983626,0.000553623245973339,0.0238968061378355,"up",NA,"'SNCAIP',"
"CARD9",294.687180762384,1.22065015205395,0.341864466065192,3.57056750034143,0.000356208642522664,0.0201329763693079,"up",NA,"'CARD9',"
"SNRPN",1666.05689936186,1.19394618883471,0.349271687373131,3.41838812591529,0.000629932082354555,0.0250260218951799,"up",NA,"'SNRPN',"
"ARPC1B",22.8393519228411,1.14546845116845,0.391613161143472,2.92499988464073,0.00344456350865105,0.0478504329418418,"up",NA,"'ARPC1B',"
"ZNF684",126.177020564859,1.10518750009453,0.341193570865218,3.23918032010958,0.00119873761211652,0.0314701229996594,"up",NA,"'ZNF684',"
"TMA7",4440.7591131426,1.10412838420661,0.322536835065286,3.4232629088182,0.000618742015649013,0.0248363833287903,"up",NA,"'TMA7',"
"MSMB",42.6272437802238,1.09406639487277,0.359979824281499,3.03924364943637,0.00237172953601578,0.0406794355199295,"up",NA,"'MSMB',"
"RPL21",40898.6863874001,1.08968784486926,0.374754269371779,2.90773964148817,0.00364051292818147,0.049484989573478,"up",NA,"'RPL21',"
"NDUFB1",3805.82575847459,1.04413488842527,0.320093038288536,3.26197312508895,0.00110639632215943,0.0305631344722993,"up",NA,"'NDUFB1',"
"RPL3L",65.6740191953277,1.01433695746445,0.345634888359475,2.93470651148359,0.00333863306888551,0.0477345415698294,"up",NA,"'RPL3L',"
"KCNAB3",78.7766238395164,0.982321551377607,0.338303646008272,2.90366823700619,0.00368818755850489,0.0497707879950703,"up",NA,"'KCNAB3',"
"ATP5MG",2372.24858127984,0.959797768604385,0.291653280619156,3.29088624193362,0.000998722918583223,0.0290766920990994,"up",NA,"'ATP5MG',"
"DLGAP2",52.6130189963429,0.956759515135819,0.287357443698061,3.32951011403459,0.000869989044274171,0.0276205085995759,"up",NA,"'DLGAP2',"
"UPK3A",838.125515134248,0.942782355405196,0.304527875285015,3.09588195997763,0.00196228460462961,0.0384861901059594,"up",NA,"'UPK3A',"
"C8orf76",136.754742103873,0.939857447627476,0.316495637098186,2.96957473488302,0.00298212264294472,0.0453945335648252,"up",NA,"'C8orf76',"
"SMIM4",1387.20339053489,0.939458048932061,0.27781812922602,3.38155775344582,0.000720760799184428,0.0263781305811247,"up",NA,"'SMIM4',"
