"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"ZNF384",0.0181747863397215,8812,0.818887084300645,0.873101465747477
"RTF1",0.0153068208525227,8942,0.805781450175564,0.862418301059878
"EXOC4",0.0113975302556613,9153,0.878308298744441,0.918981024939034
"PREPL",0.00332160264053494,9630,0.965283769144011,0.978718882708974
"PRKX",0.000980597117401061,9779,0.993347853451447,0.996144471752635
"PKP4",-0.00663811294373762,10215,0.926322038219848,0.95167775965964
"DDX3X",-0.00830357567256357,10291,0.923874132541582,0.950291460945041
"DIS3L",-0.0104957973480753,10364,0.862054096781106,0.906674080715932
"LDLR",-0.0141124686894454,10501,0.945095371332295,0.965070405599914
"AMER1",-0.0253953646232743,10820,0.789526299165828,0.849273729905639
"PLXNA1",-0.0263271433896302,10850,0.813683520918493,0.8689303886312
"TXNL1",-0.0282744822333538,10893,0.744815823543568,0.815030675892564
"ZC3H12C",-0.0333505576255768,11036,0.688661637516108,0.769257863660227
"ZFR",-0.0386682390791719,11163,0.572009138969412,0.671499267420208
"EDA",-0.0388379411534734,11169,0.764780404434202,0.830213176901274
"ZNF468",-0.04950632822956,11398,0.550714180001381,0.651659314350253
"SHANK3",-0.0541582349714269,11509,0.655368259617089,0.741354991232583
"ZNF143",-0.0640599621426277,11703,0.273780030070206,0.387071992081513
"EPC2",-0.0654387707578761,11728,0.431287474204912,0.541523932568871
"C2CD2",-0.0703465749501975,11837,0.450607125611944,0.559440202560591
"PARP4",-0.0705966923071113,11844,0.551892045453826,0.652712949069935
"BCAS3",-0.0713381904110655,11857,0.400296658788812,0.513036858153252
"DDX18",-0.0727400790621453,11892,0.344117003885544,0.458590584471738
"FEM1A",-0.0802715386416345,12049,0.0670693775541789,0.128616310846534
"MAST3",-0.0803479922761705,12054,0.467812913932143,0.576194277204645
"ZNF292",-0.082831509526788,12096,0.415278531238773,0.527254810276847
"PSMD2",-0.0869787186582389,12176,0.349565275253745,0.46412825539099
"ZNF728",-0.089379462508303,12230,0.0924919749513171,0.166637827726433
"IPO5",-0.091027532388277,12271,0.345905560703183,0.460143557098274
"IKZF4",-0.0919428990548692,12290,0.166078428346691,0.264022116858842
"MYO1C",-0.104672411625501,12540,0.372564063899347,0.486141406473513
"RNF38",-0.1154327837869,12751,0.181433974829557,0.282597066514081
"ME2",-0.117484877785203,12786,0.121222997167147,0.207220943496602
"BBS9",-0.118477131206375,12798,0.0846298576536463,0.155318217327684
"SHC3",-0.139929685864999,13181,0.0143967731731639,0.0356067775988693
"ZNF561",-0.145995379748828,13273,0.0396735170761612,0.0838745093566011
"CSDE1",-0.149585857306712,13323,0.0702628657942286,0.133667946383701
"RBPJ",-0.159589159113515,13481,0.078142002140755,0.145643373143238
"RABL3",-0.16488795256167,13592,0.0637291339733573,0.123409385754185
"MECP2",-0.174370658898843,13737,0.073799609232423,0.139057687232102
"FLII",-0.182305457251783,13850,0.0818280577333809,0.151019861504074
