"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0031647","regulation of protein stability","2/19","386/18805",0.00518134715025907,5.12817016634851,2.60617144511759,0.0571091455649947,0.180845627622483,0.137104135243755,"PYURF/TREX1",2,"BP",0.105263157894737,0.0205264557298591
"BP","GO:0039532","negative regulation of cytoplasmic pattern recognition receptor signaling pathway","1/19","59/18805",0.0169491525423729,16.7752007136485,3.85950276009866,0.0579850696925146,0.182022697034763,0.137996504531385,"TREX1",1,"BP",0.0526315789473684,0.00313746344057432
"BP","GO:0044088","regulation of vacuole organization","1/19","61/18805",0.0163934426229508,16.2251941328732,3.78775064980876,0.0598937104914143,0.186393357650005,0.141310024752883,"TREX1",1,"BP",0.0526315789473684,0.00324381813347514
"BP","GO:0043470","regulation of carbohydrate catabolic process","1/19","66/18805",0.0151515151515152,14.9960127591707,3.62232868162858,0.0646492970046337,0.199473471954468,0.151226425741833,"TREX1",1,"BP",0.0526315789473684,0.0035097048657272
"BP","GO:0030219","megakaryocyte differentiation","1/19","67/18805",0.0149253731343284,14.7721916732129,3.59139856765497,0.0655976754323462,0.200684413822686,0.152144474686976,"GP1BB",1,"BP",0.0526315789473684,0.00356288221217761
"BP","GO:0046503","glycerolipid catabolic process","1/19","69/18805",0.0144927536231884,14.3440122044241,3.53148446181255,0.0674917000352999,0.203101253195552,0.153976748303961,"ABHD16B",1,"BP",0.0526315789473684,0.00366923690507844
"BP","GO:0044773","mitotic DNA damage checkpoint signaling","1/19","70/18805",0.0142857142857143,14.1390977443609,3.50245430124015,0.0684373478629757,0.203101253195552,0.153976748303961,"TREX1",1,"BP",0.0526315789473684,0.00372241425152885
"BP","GO:0045600","positive regulation of fat cell differentiation","1/19","71/18805",0.0140845070422535,13.9399555226093,3.47401318753852,0.0693820871418978,0.203101253195552,0.153976748303961,"ADIRF",1,"BP",0.0526315789473684,0.00377559159797926
"BP","GO:0006879","intracellular iron ion homeostasis","1/19","72/18805",0.0138888888888889,13.7463450292398,3.44614077605809,0.0703259186965206,0.203101253195552,0.153976748303961,"BOLA2",1,"BP",0.0526315789473684,0.00382876894442967
"BP","GO:0048255","mRNA stabilization","1/19","72/18805",0.0138888888888889,13.7463450292398,3.44614077605809,0.0703259186965206,0.203101253195552,0.153976748303961,"DND1",1,"BP",0.0526315789473684,0.00382876894442967
"BP","GO:0051101","regulation of DNA binding","1/19","72/18805",0.0138888888888889,13.7463450292398,3.44614077605809,0.0703259186965206,0.203101253195552,0.153976748303961,"ZNF593",1,"BP",0.0526315789473684,0.00382876894442967
"BP","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","1/19","72/18805",0.0138888888888889,13.7463450292398,3.44614077605809,0.0703259186965206,0.203101253195552,0.153976748303961,"TREX1",1,"BP",0.0526315789473684,0.00382876894442967
"BP","GO:0044774","mitotic DNA integrity checkpoint signaling","1/19","74/18805",0.0135135135135135,13.3748221906117,3.39202549714448,0.072210861927166,0.20598714902976,0.156164626761154,"TREX1",1,"BP",0.0526315789473684,0.0039351236373305
"BP","GO:0141188","nucleic acid catabolic process","2/19","444/18805",0.0045045045045045,4.45827406353722,2.34524106498176,0.0730308262915442,0.20598714902976,0.156164626761154,"TREX1/DND1",2,"BP",0.105263157894737,0.023610741823983
"BP","GO:0071479","cellular response to ionizing radiation","1/19","75/18805",0.0133333333333333,13.1964912280702,3.36574658264305,0.0731519752485785,0.20598714902976,0.156164626761154,"TREX1",1,"BP",0.0526315789473684,0.00398830098378091
"BP","GO:1903578","regulation of ATP metabolic process","1/19","76/18805",0.0131578947368421,13.0228531855956,3.33996417019792,0.0740921841364736,0.20598714902976,0.156164626761154,"TREX1",1,"BP",0.0526315789473684,0.00404147833023132
"BP","GO:0006163","purine nucleotide metabolic process","2/19","448/18805",0.00446428571428571,4.41846804511278,2.32891930227443,0.0741781977115479,0.20598714902976,0.156164626761154,"TREX1/PGAM2",2,"BP",0.105263157894737,0.0238234512097846
"BP","GO:0002637","regulation of immunoglobulin production","1/19","78/18805",0.0128205128205128,12.6889338731444,3.28982548489474,0.0759698918947669,0.209352144839777,0.158715724328159,"TREX1",1,"BP",0.0526315789473684,0.00414783302313215
"BP","GO:0002437","inflammatory response to antigenic stimulus","1/19","80/18805",0.0125,12.3717105263158,3.24148964797743,0.0778439917611446,0.212234838597977,0.160901175201849,"TREX1",1,"BP",0.0526315789473684,0.00425418771603297
"BP","GO:1902373","negative regulation of mRNA catabolic process","1/19","81/18805",0.0123456790123457,12.2189733593242,3.21796319559254,0.0787796907815207,0.212234838597977,0.160901175201849,"DND1",1,"BP",0.0526315789473684,0.00430736506248338
"BP","GO:1902807","negative regulation of cell cycle G1/S phase transition","1/19","81/18805",0.0123456790123457,12.2189733593242,3.21796319559254,0.0787796907815207,0.212234838597977,0.160901175201849,"TREX1",1,"BP",0.0526315789473684,0.00430736506248338
"BP","GO:0043489","RNA stabilization","1/19","82/18805",0.0121951219512195,12.0699614890886,3.19484711409066,0.0797144902835046,0.213162451795149,0.161604424746286,"DND1",1,"BP",0.0526315789473684,0.00436054240893379
"BP","GO:0046928","regulation of neurotransmitter secretion","1/19","85/18805",0.0117647058823529,11.6439628482972,3.12784089408641,0.0825134998430119,0.217120013498101,0.164604763112717,"CPLX3",1,"BP",0.0526315789473684,0.00452007444828503
"BP","GO:0060337","type I interferon-mediated signaling pathway","1/19","85/18805",0.0117647058823529,11.6439628482972,3.12784089408641,0.0825134998430119,0.217120013498101,0.164604763112717,"TREX1",1,"BP",0.0526315789473684,0.00452007444828503
"BP","GO:0071357","cellular response to type I interferon","1/19","86/18805",0.0116279069767442,11.5085679314565,3.10624854203575,0.0834447094318462,0.217120013498101,0.164604763112717,"TREX1",1,"BP",0.0526315789473684,0.00457325179473544
"BP","GO:1900542","regulation of purine nucleotide metabolic process","1/19","87/18805",0.0114942528735632,11.3762855414398,3.08501004181118,0.0843750235790122,0.217120013498101,0.164604763112717,"TREX1",1,"BP",0.0526315789473684,0.00462642914118586
"BP","GO:0006091","generation of precursor metabolites and energy","2/19","484/18805",0.00413223140495868,4.089821661592,2.19011172243926,0.0847681491396361,0.217120013498101,0.164604763112717,"TREX1/PGAM2",2,"BP",0.105263157894737,0.0257378356819995
"BP","GO:0006140","regulation of nucleotide metabolic process","1/19","88/18805",0.0113636363636364,11.247009569378,3.06411542010519,0.0853044430977641,0.217120013498101,0.164604763112717,"TREX1",1,"BP",0.0526315789473684,0.00467960648763627
"BP","GO:0006094","gluconeogenesis","1/19","89/18805",0.0112359550561798,11.12063867534,3.04355509508793,0.086232968800662,0.217120013498101,0.164604763112717,"PGAM2",1,"BP",0.0526315789473684,0.00473278383408668
"BP","GO:0061515","myeloid cell development","1/19","90/18805",0.0111111111111111,10.9970760233918,3.02331985682973,0.0871606014995714,0.217120013498101,0.164604763112717,"GP1BB",1,"BP",0.0526315789473684,0.00478596118053709
"BP","GO:0022613","ribonucleoprotein complex biogenesis","2/19","494/18805",0.00404858299595142,4.00703174941402,2.15392322660268,0.0877904370943845,0.217120013498101,0.164604763112717,"UTP14C/ZNF593",2,"BP",0.105263157894737,0.0262696091465036
"BP","GO:0034644","cellular response to UV","1/19","91/18805",0.010989010989011,10.8762290341238,3.00340084890817,0.088087342005663,0.217120013498101,0.164604763112717,"TREX1",1,"BP",0.0526315789473684,0.0048391385269875
"BP","GO:0140029","exocytic process","1/19","91/18805",0.010989010989011,10.8762290341238,3.00340084890817,0.088087342005663,0.217120013498101,0.164604763112717,"CPLX3",1,"BP",0.0526315789473684,0.0048391385269875
"BP","GO:0019319","hexose biosynthetic process","1/19","92/18805",0.0108695652173913,10.7580091533181,2.98378955111594,0.0890131911294152,0.217120013498101,0.164604763112717,"PGAM2",1,"BP",0.0526315789473684,0.00489231587343792
"BP","GO:0034340","response to type I interferon","1/19","92/18805",0.0108695652173913,10.7580091533181,2.98378955111594,0.0890131911294152,0.217120013498101,0.164604763112717,"TREX1",1,"BP",0.0526315789473684,0.00489231587343792
"BP","GO:0046364","monosaccharide biosynthetic process","1/19","94/18805",0.0106382978723404,10.5291153415454,2.94545758950742,0.0908622184683451,0.218675072447151,0.165783696854524,"PGAM2",1,"BP",0.0526315789473684,0.00499867056633874
"BP","GO:1902369","negative regulation of RNA catabolic process","1/19","94/18805",0.0106382978723404,10.5291153415454,2.94545758950742,0.0908622184683451,0.218675072447151,0.165783696854524,"DND1",1,"BP",0.0526315789473684,0.00499867056633874
"BP","GO:0051100","negative regulation of binding","1/19","97/18805",0.0103092783505155,10.2034725990233,2.89007206979469,0.0936290943313142,0.22384174207685,0.169700693803706,"ZNF593",1,"BP",0.0526315789473684,0.00515820260568998
"BP","GO:0002275","myeloid cell activation involved in immune response","1/19","98/18805",0.0102040816326531,10.0993555316864,2.87214500138787,0.0945496121422884,0.224555328837935,0.170241683912708,"TREX1",1,"BP",0.0526315789473684,0.00521137995214039
"BP","GO:0045824","negative regulation of innate immune response","1/19","100/18805",0.01,9.89736842105263,2.83705320599881,0.0963879913840793,0.227425260716684,0.172417459648164,"TREX1",1,"BP",0.0526315789473684,0.00531773464504121
"BP","GO:0016079","synaptic vesicle exocytosis","1/19","102/18805",0.00980392156862745,9.70330237358101,2.80293666063312,0.0982228341485469,0.22941765526323,0.173927949754891,"CPLX3",1,"BP",0.0526315789473684,0.00542408933794204
