"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"ISCA1",0.128556215347077,5972,0.0949829411523954,0.15241662154877
"NDUFA5",0.115957822845518,6177,0.196534912035808,0.281032308066859
"PDHB",0.108513135375448,6306,0.155036266910182,0.23062270627704
"NDUFB5",0.106007545023639,6361,0.225479026030066,0.315094475515659
"ABCB7",0.0991886289617017,6475,0.153600118067803,0.228753343385772
"NDUFS3",0.0841548597417745,6789,0.220724583482117,0.30932601211327
"VDAC2",0.0795678337782828,6876,0.310023761550673,0.407955605545448
"PHYH",0.0702506084273105,7090,0.519210416419447,0.616783762048869
"HADHA",0.0671923225294817,7151,0.347323671720343,0.446721573423595
"ACO2",0.0601045390856858,7294,0.551736478400078,0.646473040337718
"IDH3B",0.0549110196735576,7431,0.456680245018201,0.557446078663567
"PDHA1",0.0470107421075263,7625,0.654244095234674,0.736998004536328
"ETFDH",0.0436709241235778,7712,0.525236231894423,0.622594736601709
"UQCR11",0.0344374167409622,7936,0.752948397019161,0.816174435935672
"HCCS",0.0262163463798872,8163,0.745698310170333,0.809949773061265
"ACADVL",0.0217325322000432,8325,0.83685124315277,0.883120042026027
"SLC25A11",0.0212035148308418,8345,0.7719817831871,0.831477047685333
"IMMT",0.0181593157181927,8422,0.766861402866767,0.827816936632844
"COX10",0.0142676071434977,8566,0.826892358469104,0.875087822699691
"DLD",0.00458599885997213,8953,0.951008880275128,0.966013732264424
"MRPL11",0.00252605104901926,9073,0.976867133001001,0.984032154160718
"SDHC",-0.00195733473965287,9439,0.979248719276035,0.985562926031733
"UQCRC2",-0.00559432608932919,9782,0.936417775234685,0.955906396083564
"ATP6V1H",-0.0162091233166888,10422,0.848324950492024,0.891660499315786
"MTRF1",-0.022647330809739,10700,0.722942468764578,0.792197148190477
"NDUFS1",-0.0242233649293375,10759,0.733413921653406,0.800605910053255
"COX4I1",-0.027016221061043,10881,0.779557021922615,0.837709645984144
"NDUFA4",-0.0366273989341028,11191,0.764061177546753,0.825525935707382
"MTRR",-0.040430887926131,11300,0.611587959493279,0.699252983732113
"FXN",-0.0411312173203127,11324,0.505808168473508,0.604059627678137
"CPT1A",-0.0467694973172739,11474,0.709550920766852,0.781421507218577
"NDUFA6",-0.0484576967537427,11528,0.571954062190494,0.665095040741759
"POR",-0.0615734352193327,11859,0.709979762837319,0.781705265098642
"COX11",-0.0647789835635808,11941,0.44022683368103,0.541056610417016
"RETSAT",-0.0860716230602616,12355,0.422281747111023,0.52315507275705
"ALAS1",-0.0910140793481302,12452,0.327416990700106,0.426192458743805
"MRPS22",-0.0963302496355594,12563,0.11632337486811,0.181170085721428
"ACADM",-0.10235701281628,12698,0.253815908831032,0.346787447879993
"ATP6V1D",-0.108638024229033,12806,0.202946822065536,0.288709240798216
"MRPL34",-0.109395743446595,12819,0.276646560315938,0.3719436236369
"DLAT",-0.113029846447396,12890,0.169592824856614,0.24816010084362
"DLST",-0.117270796254286,12973,0.0982969063851907,0.156975982866925
"ATP6V1E1",-0.132962900860325,13207,0.0474224456117298,0.0840010077137177
"GOT2",-0.137812911457742,13277,0.181843392369663,0.263453838431161
"TCIRG1",-0.151018759242481,13491,0.29930345857031,0.396624853035787
"NDUFS4",-0.15957579293025,13606,0.0890283857786654,0.144242726151597
"SUCLG1",-0.166776263332811,13711,0.0281955275694779,0.0531655558213861
"SLC25A20",-0.183313021276439,13972,0.200057996872705,0.285266149170713
"MDH1",-0.186551042543556,14018,0.0205057123352776,0.0403313601288017
"MRPL35",-0.196073570103926,14153,0.00143476122625642,0.00387224417239949
"OPA1",-0.210402754576617,14330,0.00121664646085782,0.00334134179131394
"VDAC3",-0.212780602829,14354,0.0257168868066577,0.049105650680578
"OGDH",-0.226422112743723,14524,0.00244885737831732,0.00622818558512172
"IDH3A",-0.232893603790386,14590,0.0107299080567834,0.0229499415181739
"RHOT1",-0.234700584267342,14606,0.000593382348791555,0.00176555171575607
"LDHB",-0.25795413623153,14846,0.149027592280706,0.223089493574772
"FDX1",-0.258132718251622,14848,0.1152825403176,0.179748261326613
"ISCU",-0.357715358246195,15677,3.99798264696089e-07,2.58228964036024e-06
"SLC25A4",-0.3762641184957,15791,0.000793540051794808,0.00229058195102465
"SUCLA2",-0.389133529086202,15884,4.67828636152728e-06,2.3392712477322e-05
"MFN2",-0.455369183601118,16282,4.61112894262509e-08,3.84246721103968e-07
"SLC25A12",-0.501842379329867,16516,3.63087545735605e-08,3.10058770939998e-07
"CYB5R3",-0.540320136520825,16688,6.62194128345803e-08,5.28886661493854e-07
"SDHD",-0.544520286812214,16706,4.4525706384756e-10,6.63923716590983e-09
"MGST3",-0.557231278289215,16761,1.16929734785952e-05,5.34101735238554e-05
"ACAA2",-0.819396324568598,17515,6.06383628071188e-07,3.74829216593852e-06
"NNT",-0.865709941193738,17606,3.38492636139428e-16,3.68030148316833e-14
"BDH2",-1.00726167947298,17824,2.1928809968544e-12,6.51303484366545e-11
"ATP1B1",-1.08501177098181,17906,3.11241056008931e-08,2.69949151427309e-07
"OAT",-1.12797394218622,17955,5.06713978548349e-12,1.35713160295662e-10
"MAOB",-1.12900595706979,17958,8.78715313234555e-05,0.000323079990167922
"PDK4",-1.61065124005788,18210,1.58961400738994e-07,1.13940662746145e-06
