"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"IDH2",0.0939833493946063,1878,0.272863766783713,0.961953958507263
"ATP6V0C",0.0934853880910187,1905,0.221107732564042,0.961953958507263
"ISCA1",0.0931011274613183,1915,0.151897104806732,0.961953958507263
"GOT2",0.0926653098859935,1938,0.312698364315918,0.961953958507263
"GPI",0.0923074417602905,1955,0.217541935771283,0.961953958507263
"FDX1",0.0914940081251627,1989,0.10503850360139,0.961953958507263
"UQCRC1",0.0872313942843084,2174,0.216172635964419,0.961953958507263
"NDUFV2",0.0868746769383928,2193,0.23914836238862,0.961953958507263
"ISCU",0.0857526223361225,2243,0.143654750617375,0.961953958507263
"HCCS",0.0857484120869296,2245,0.152753449381667,0.961953958507263
"UQCRC2",0.0855857042909403,2254,0.133450524387211,0.961953958507263
"ALDH6A1",0.0854910444589194,2261,0.419370067404755,0.962613387123402
"ACAT1",0.0836612322116834,2337,0.423999399040865,0.962613387123402
"ACADM",0.0829065044866431,2371,0.335378505186571,0.961953958507263
"SUCLA2",0.0820657790001138,2407,0.230599917485287,0.961953958507263
"UQCRQ",0.0804129565459517,2493,0.469720858285052,0.962613387123402
"CYB5A",0.0801074291732893,2514,0.473949068105623,0.962613387123402
"SLC25A6",0.0790851556601071,2557,0.440431342400542,0.962613387123402
"CPT1A",0.0782113658698513,2607,0.451475094555242,0.962613387123402
"BCKDHA",0.0781907324641882,2609,0.138505760010138,0.961953958507263
"DECR1",0.0777187672154858,2633,0.402991623056713,0.962613387123402
"FH",0.077432681327938,2649,0.234985361285827,0.961953958507263
"SUPV3L1",0.0766865958531424,2682,0.145573500979469,0.961953958507263
"SDHA",0.0762519597677831,2694,0.196066817795396,0.961953958507263
"NDUFAB1",0.0756675350421636,2729,0.358856630319939,0.961953958507263
"ALAS1",0.0749850335111129,2775,0.244543664030715,0.961953958507263
"COX4I1",0.0721778706164296,2922,0.441391588792083,0.962613387123402
"NDUFA7",0.0718455855700246,2935,0.239406078218952,0.961953958507263
"CS",0.0714380158085612,2952,0.235693104914065,0.961953958507263
"ATP6AP1",0.071037955958813,2974,0.361074133277202,0.961953958507263
"LRPPRC",0.070941465880284,2980,0.318975711566929,0.961953958507263
"SUCLG1",0.066704796032206,3187,0.27279247110465,0.961953958507263
"IMMT",0.0660962336203026,3212,0.225704810650213,0.961953958507263
"CYCS",0.0658256577591523,3226,0.43040052468098,0.962613387123402
"RETSAT",0.0651511643018923,3271,0.417989782169313,0.962613387123402
"NDUFC2",0.0646708896279105,3306,0.396899143534099,0.962613387123402
"PHB2",0.064448165336743,3322,0.43604919010272,0.962613387123402
"PMPCA",0.0637738427855208,3362,0.321857426507782,0.961953958507263
"COX10",0.0617356407780838,3483,0.160946943816572,0.961953958507263
"SLC25A11",0.0611307510729056,3517,0.379587553400816,0.961953958507263
"PDHA1",0.0606279176544833,3561,0.323076609342195,0.961953958507263
"COX6A1",0.0598146255812937,3608,0.551843371520807,0.972817794316773
"GRPEL1",0.0598038951128812,3609,0.307422324696571,0.961953958507263
"ETFDH",0.0587471645462379,3682,0.355501518011651,0.961953958507263
"IDH3G",0.0581311893416876,3718,0.397817826442158,0.962613387123402
"NDUFA4",0.0576301924068678,3754,0.539168127655928,0.971231526571388
"MDH1",0.0575299772570226,3759,0.401410647268346,0.962613387123402
"GLUD1",0.055052738971332,3921,0.595495529684726,0.974889403904491
"HSPA9",0.0550092410659069,3924,0.409978954621008,0.962613387123402
"NDUFA5",0.0546329521636171,3948,0.40701450575939,0.962613387123402
"SDHD",0.0538275798071641,4001,0.484076328667711,0.963535743091324
"RHOT1",0.0515985903051401,4125,0.321391410892444,0.961953958507263
"ETFA",0.0511309248792573,4157,0.51507850687325,0.968669536365984
"ACAA1",0.0506424306124709,4187,0.498238163883006,0.965425622265064
"AIFM1",0.0505334237799171,4195,0.423772970613921,0.962613387123402
"PDHB",0.0504223683631349,4204,0.388538134861496,0.961953958507263
