"Gene","log2FC","rank","in_gene_set"
"TCTEX1D2",0.488966734298159,272,FALSE
"SLC26A6",0.488002709219134,273,FALSE
"ATAD3B",0.487823345499715,274,FALSE
"DAPK3",0.487738690354174,275,FALSE
"GGCT",0.487662973968003,276,FALSE
"DOHH",0.487431253973465,277,FALSE
"SOX12",0.486777423448983,278,FALSE
"GRINA",0.486744800503277,279,FALSE
"B4GALNT4",0.486276266706734,280,FALSE
"STC2",0.486215518436264,281,FALSE
"RPL13",0.485549018077299,282,FALSE
"LRRC75B",0.485135595584191,283,FALSE
"CST1",0.483749850804809,284,FALSE
"PHPT1",0.483624401596829,285,FALSE
"CAPS",0.483532648035892,286,FALSE
"KRT19",0.482815631244141,287,FALSE
"MRPS28",0.482353785725019,288,FALSE
"RGL2",0.482104793485814,289,FALSE
"SNRPD2",0.481963491954152,290,FALSE
"FAAH",0.481351514205834,291,FALSE
"NPEPL1",0.481338742835169,292,FALSE
"C8orf82",0.480346398720972,293,FALSE
"UQCR11",0.479959205592606,294,TRUE
"MIB2",0.479499291978012,295,FALSE
"ZNHIT1",0.479264575367494,296,FALSE
"SCX",0.479241309611016,297,FALSE
"SERPINB11",0.478784330507675,298,FALSE
"RPS10",0.478602369751946,299,FALSE
"GADD45GIP1",0.478005166533729,300,FALSE
"IFI27",0.477886307137112,301,FALSE
"BRICD5",0.477453787036953,302,FALSE
"NAT14",0.477334909212571,303,FALSE
"SNRPG",0.477314844830852,304,FALSE
"POLD4",0.477136265976329,305,FALSE
"CHCHD2",0.47707593482391,306,FALSE
"PAQR6",0.476901343210082,307,FALSE
"PRELID1",0.476844291963726,308,FALSE
"TM7SF2",0.476474807304299,309,FALSE
"COX14",0.476399082222855,310,TRUE
"RPL37A",0.476380057480377,311,FALSE
"CA3",0.476349899335198,312,FALSE
"BAD",0.475864241047224,313,FALSE
"ZNF503",0.475373754293753,314,FALSE
"EIF1AY",0.475356777336177,315,FALSE
"SLC6A8",0.474675238073412,316,FALSE
"CKS2",0.474292944165472,317,FALSE
"SERPINI1",0.473688777067161,318,FALSE
"EMD",0.473659436591976,319,FALSE
"CASQ1",0.47353500640485,320,FALSE
"LSM4",0.473263844844686,321,FALSE
"APOH",0.472151728799662,322,FALSE
"AP1S1",0.472002187813974,323,FALSE
"KCNG1",0.471593506698578,324,FALSE
"GUK1",0.469989098973078,325,FALSE
"VKORC1",0.469905781888586,326,TRUE
"DUS1L",0.469422946316413,327,FALSE
"JOSD2",0.468985504876523,328,FALSE
"BIK",0.468315941527262,329,FALSE
"CKB",0.467512856556247,330,FALSE
"SLC2A4RG",0.467318626861981,331,FALSE
"PDIA2",0.466550124042356,332,FALSE
"NDUFA2",0.466301994285879,333,FALSE
"AGPAT2",0.465934426250066,334,FALSE
"STAC3",0.465693958150776,335,FALSE
"OGFR",0.465651204942941,336,FALSE
"INAFM1",0.46514628123063,337,FALSE
"RPL9",0.465099888987824,338,FALSE
"NDUFA4",0.465006581056836,339,FALSE
"RPL31",0.464839119392956,340,FALSE
"ANKRD1",0.46464533857771,341,FALSE
"ARPC5L",0.464574709164113,342,FALSE
"ANKRD13D",0.464140982058193,343,FALSE
"UBL5",0.463744500541815,344,FALSE
"UBXN11",0.463480275046688,345,FALSE
"GAR1",0.463406227017222,346,FALSE
"CYC1",0.463342674563778,347,FALSE
"SRMS",0.463268418590801,348,FALSE
"ZNF692",0.463144112869421,349,FALSE
"SNRPF",0.462356073145878,350,FALSE
"NDUFA11",0.462168432858197,351,FALSE
"ABHD11",0.461982917597187,352,FALSE
"RRAD",0.461956489813331,353,FALSE
"MZT2A",0.461657853652294,354,FALSE
"MAPK15",0.461314737038267,355,FALSE
"SNRPE",0.460838838836503,356,FALSE
"UCKL1",0.460319448595978,357,FALSE
"CLPP",0.460097546235634,358,FALSE
"TRABD",0.459023561438855,359,FALSE
"RABL6",0.458953432024364,360,FALSE
"ZNF787",0.45888474120344,361,FALSE
"NDUFB11",0.458603811674765,362,FALSE
"IL32",0.458374205867327,363,FALSE
"RPL8",0.457808895476303,364,FALSE
"RPL35A",0.457647813809783,365,FALSE
"ZG16B",0.457346518548992,366,FALSE
"PKDCC",0.457098374294351,367,FALSE
"CLTB",0.456871508099482,368,FALSE
"FMC1",0.456061756333916,369,FALSE
"ID1",0.456044210215587,370,FALSE
"KRT10",0.455811208612257,371,TRUE
"DCTPP1",0.455213694552199,372,FALSE
"MFSD3",0.455190183181769,373,FALSE
"PIP",0.454547363972609,374,FALSE
"RHBDL1",0.454318423200998,375,FALSE
"PIR",0.454097116667457,376,FALSE
"ZNF579",0.454069856506007,377,FALSE
"RAB32",0.453555250677846,378,FALSE
"OPLAH",0.453367787509576,379,FALSE
"ATP6V0E2",0.453279070437462,380,FALSE
"C11orf96",0.452878185086093,381,FALSE
"C1orf122",0.452847718946632,382,FALSE
"NDUFV1",0.452674362933404,383,FALSE
"MRPS26",0.452270011049412,384,FALSE
"UQCR10",0.452195580190982,385,FALSE
"TCEAL4",0.452164685353436,386,FALSE
"SSBP4",0.452107438131069,387,FALSE
"MICALL2",0.451624210640063,388,FALSE
"FAM110A",0.451415904348728,389,FALSE
"PCBP1",0.450992387901081,390,FALSE
"TMEM120A",0.450784725835278,391,FALSE
"PGP",0.45059821532107,392,FALSE
"ACADS",0.450579153040785,393,FALSE
"SDF2L1",0.450323954728851,394,FALSE
"FBXO44",0.450295684668827,395,FALSE
"FAM118A",0.449761384251937,396,FALSE
"RPS17",0.449456269398603,397,FALSE
"TMSB10",0.449321711107237,398,FALSE
"FBXL6",0.449297574686022,399,FALSE
"PSMA7",0.449228542719379,400,FALSE
"COX6A2",0.449079990348224,401,FALSE
"PTK6",0.448106047386201,402,FALSE
"MPG",0.448064927983209,403,FALSE
"RHOD",0.448001639442316,404,FALSE
"SCRIB",0.447646209712607,405,FALSE
"SLC25A1",0.447479582260184,406,FALSE
"SPON2",0.446872506976337,407,FALSE
"BBC3",0.446764641538253,408,FALSE
"MRPL28",0.446057700504632,409,FALSE
"OXLD1",0.44597822003918,410,FALSE
"MRPL20",0.445912540671003,411,FALSE
"RALGDS",0.445807899933859,412,FALSE
"NDUFB10",0.445466401824139,413,FALSE
"SLC9A3R1",0.445115663838694,414,FALSE
"IFI6",0.445000777195975,415,FALSE
"NDUFB1",0.444373822614338,416,TRUE
"ACTC1",0.443870791500993,417,FALSE
"APRT",0.443474168473151,418,FALSE
"METRNL",0.443113456392757,419,FALSE
"DCXR",0.443101528429063,420,FALSE
"RPL26L1",0.442826159118613,421,FALSE
"FBXO2",0.441964211549711,422,TRUE
"TMSB4X",0.441059419665092,423,FALSE
"NEIL1",0.440810876831174,424,FALSE
"RAB17",0.440561430334679,425,FALSE
"ANKRD23",0.439916419160712,426,FALSE
"SIVA1",0.439870158308926,427,FALSE
"TMEM141",0.439726521817169,428,FALSE
"BRAT1",0.439348606741905,429,FALSE
"HRAS",0.439265300583949,430,FALSE
"RPL41",0.438710553584253,431,FALSE
"MID1IP1",0.438340062385556,432,FALSE
"DDIT4L",0.438244638135833,433,FALSE
"PI16",0.438145007789511,434,FALSE
"TNNI1",0.437809516790415,435,FALSE
"VPS37D",0.437202031142284,436,FALSE
"RPL24",0.437090441391257,437,FALSE
"PRDX5",0.436894844193637,438,FALSE
"CHPT1",0.43661927892041,439,FALSE
"ICAM4",0.436165508530245,440,FALSE
"QTRT1",0.435977513554451,441,FALSE
"UBE2S",0.435158448464892,442,FALSE
"GPC1",0.434991982214413,443,FALSE
"ENGASE",0.433784302543331,444,FALSE
"YDJC",0.433538073301492,445,FALSE
"CFAP69",0.433312910168456,446,FALSE
"MAZ",0.432815785675978,447,FALSE
"VPS28",0.43274471801662,448,FALSE
"GNB2",0.432543159561264,449,FALSE
"RNASEH2C",0.432283517165021,450,FALSE
"MRPL23",0.431898227595672,451,FALSE
"FAU",0.431757675523932,452,FALSE
"DECR2",0.431727716584882,453,FALSE
"DDRGK1",0.431691358554536,454,FALSE
"FBXW5",0.431346894563733,455,FALSE
"S100A4",0.431186961588076,456,FALSE
"COX8A",0.430871121987837,457,TRUE
"MRPL13",0.430845428616223,458,FALSE
"MACROD1",0.430482579351224,459,FALSE
"ARF5",0.430396045808909,460,FALSE
"MAPK11",0.430231301039837,461,FALSE
"FABP4",0.430107634977634,462,FALSE
"LAMTOR2",0.429870322348862,463,FALSE
"PARL",0.429546793794402,464,FALSE
"AMH",0.429479412163705,465,FALSE
"CLDN4",0.429185502308783,466,FALSE
"PITX1",0.429073835671816,467,FALSE
"NDUFC2",0.428658689916518,468,TRUE
"HSPA1A",0.428638633156155,469,FALSE
"PDRG1",0.42853427919514,470,FALSE
"DRAP1",0.428252108215615,471,FALSE
"GIPC1",0.427943845655712,472,FALSE
"MDH1B",0.427018572836714,473,FALSE
"STK11",0.426658467743452,474,FALSE
"SLC39A3",0.42538120461603,475,FALSE
"SCRN2",0.425238886210751,476,FALSE
"SNX22",0.425224020879899,477,FALSE
"TSSC4",0.424874421552296,478,FALSE
"SLC25A27",0.424819356327943,479,FALSE
"ADRM1",0.424720572778274,480,FALSE
"COMMD3",0.424709392789923,481,FALSE
"ZNF524",0.424416761715946,482,FALSE
"EDF1",0.423165971438652,483,FALSE
"LAMTOR5",0.42306502709933,484,FALSE
"VEGFB",0.422549662813336,485,FALSE
"TIMM13",0.422543386633876,486,FALSE
"SHARPIN",0.42250945595641,487,FALSE
"TXN",0.422238600090274,488,FALSE
"FUS",0.422106603505332,489,FALSE
"CENPB",0.422081795017495,490,FALSE
"NME4",0.421700691842318,491,FALSE
"PIGQ",0.421426995585246,492,FALSE
"DYNLL1",0.420913935206166,493,FALSE
"CCS",0.420638528011708,494,FALSE
"CISD3",0.420587543084755,495,FALSE
"YJEFN3",0.420376511731117,496,FALSE
"TRMU",0.420326619995167,497,FALSE
"RPUSD1",0.420258530513673,498,FALSE
"NDUFB8",0.42009282053388,499,FALSE
"EXOSC7",0.419861160968692,500,FALSE
"MIIP",0.419621768483446,501,FALSE
"MRPL4",0.419610110240047,502,FALSE
"PDAP1",0.419486230932008,503,FALSE
"FAAP20",0.418914093394312,504,FALSE
"XIRP2",0.418726712466241,505,FALSE
"GRIN1",0.418572949523085,506,FALSE
"NXT1",0.418488173247308,507,FALSE
"RPS16",0.418437953810932,508,FALSE
"HDAC10",0.418281560659963,509,FALSE
"PIN1",0.418231060678557,510,FALSE
"BCAP31",0.418218558305822,511,FALSE
"MAPRE3",0.417832168708659,512,FALSE
"BGLAP",0.41782906810431,513,FALSE
"FAM229A",0.417767777991118,514,FALSE
"LMOD2",0.417554969405626,515,FALSE
"ANKZF1",0.417471705186307,516,FALSE
"ABTB1",0.417462471952291,517,TRUE
"TMEM134",0.417295181931478,518,FALSE
"UCN",0.416997776882133,519,FALSE
"HDHD3",0.416900217525671,520,FALSE
"GOLGA8A",0.416882849754924,521,FALSE
"PCP2",0.416602045202181,522,FALSE
"DUT",0.416168296773527,523,FALSE
"TEPSIN",0.415684975355127,524,FALSE
"NT5C",0.415188335351302,525,FALSE
"GLI4",0.415175304611241,526,FALSE
"RPS9",0.414735855817277,527,FALSE
"HSBP1L1",0.414611938759382,528,FALSE
"ZNF316",0.414435751427002,529,FALSE
"DNAJB2",0.414399375819412,530,FALSE
"PTPA",0.414144306731332,531,FALSE
"PSMA1",0.414027786582237,532,FALSE
"MRPL55",0.413924467081847,533,FALSE
"UFSP1",0.413885870748286,534,FALSE
"TMEM256",0.413814117771796,535,FALSE
"RFNG",0.413586877915898,536,FALSE
"NEDD8",0.413529536876345,537,FALSE
"TCEA2",0.41342940062815,538,FALSE
"OAZ1",0.413402482338998,539,FALSE
"BRMS1",0.413372419209926,540,FALSE
"FAM50A",0.413342540327877,541,FALSE
"C1orf159",0.413256433443189,542,FALSE
"CYSRT1",0.413197325878414,543,FALSE
"WDR24",0.412736782532293,544,FALSE
"GPX4",0.41269736917172,545,FALSE
"SDSL",0.412389847453821,546,FALSE
"COX7A2",0.412319078345837,547,FALSE
"MRPL24",0.412314596806684,548,FALSE
"FUOM",0.412301102397326,549,FALSE
"ELOB",0.411994582167649,550,FALSE
"RNF126",0.411923377055249,551,FALSE
"RENBP",0.411629672314634,552,TRUE
"WDR18",0.411475362370061,553,FALSE
"CCDC74A",0.411431528840021,554,FALSE
"SEM1",0.410833832646806,555,FALSE
"UNC93B1",0.410605747691894,556,FALSE
"ECHDC2",0.41045050493391,557,FALSE
"AMBP",0.410199478761406,558,FALSE
"KLHDC9",0.410020729745553,559,FALSE
"SELENOW",0.409945432305422,560,FALSE
"TYMP",0.409901402310125,561,FALSE
"NSUN5",0.409841376132527,562,FALSE
"TPPP3",0.409384433123738,563,FALSE
"SS18L2",0.409368157780527,564,FALSE
"PABPN1",0.409083121216589,565,FALSE
"ARGLU1",0.408815403101482,566,FALSE
"GAS2L1",0.408205255531976,567,FALSE
"CCDC24",0.40796979562192,568,FALSE
"KRTCAP3",0.407426282434219,569,FALSE
"SLC25A29",0.407362726575049,570,FALSE
"FPGS",0.407346438151048,571,FALSE
"UBAC1",0.40733246947786,572,FALSE
"WDR90",0.407321871088131,573,FALSE
"ZNF768",0.40720867410785,574,FALSE
"ABCC5",0.406941574610471,575,FALSE
"HSD17B10",0.406904383782131,576,FALSE
"CIB1",0.406606484880391,577,FALSE
"CDC37",0.406394931965417,578,FALSE
"CHCHD6",0.406006043908372,579,FALSE
"SF3B6",0.405749011819244,580,FALSE
"MAF1",0.405545183856779,581,FALSE
"ZNF771",0.40523573623785,582,FALSE
"SURF2",0.404597130636579,583,FALSE
