"Gene","log2FC","rank","in_gene_set","background_pvalue","background_p.adjust"
"HSPB6",0.351610145302026,78,FALSE,0.0728310980159183,0.961953958507263
"TNNI2",0.348394394406727,79,FALSE,0.035712043229095,0.921720548972486
"HOMER2",0.342083293533609,80,FALSE,0.00216557461676622,0.325415575745633
"SYNM",0.341791930588116,81,FALSE,0.0309250543979097,0.898917937247872
"IGF1R",0.339577870161423,82,FALSE,0.0243453943458798,0.843403251480126
"METTL7A",0.339348920607044,83,FALSE,0.00332873844486474,0.429572887172512
"ECHDC3",0.339115928336814,84,FALSE,0.088629048934313,0.961953958507263
"RGS2",0.337544645846312,85,FALSE,0.125698578455122,0.961953958507263
"PDLIM3",0.336572050364868,86,FALSE,0.0320077770951766,0.901198938151252
"CCND1",0.336112459805604,87,FALSE,0.00929798056450198,0.668905507303719
"NDRG1",0.33543839163752,88,FALSE,0.0203793406905694,0.843403251480126
"SYNPO2",0.335112025252836,89,FALSE,0.0400070976463279,0.939004138296944
"FBXL16",0.33358733259425,90,FALSE,0.0267839580951137,0.861660680056359
"AKAP12",0.330650689090275,91,FALSE,0.0220654625902641,0.843403251480126
"GATA2",0.326849670293767,92,FALSE,0.0147405325437863,0.808870123641464
"METRN",0.324596620909708,93,FALSE,0.010027151373907,0.701123973008511
"KLK4",0.324306480259569,94,FALSE,0.075244179810936,0.961953958507263
"BBX",0.321385237947408,95,FALSE,0.000329577586858626,0.086033874923824
"CITED4",0.321376128368636,96,FALSE,0.0203264818499628,0.843403251480126
"SCNN1B",0.320738360271232,97,FALSE,0.0311166960201161,0.898917937247872
"BHLHA15",0.31867118576884,98,FALSE,0.0776107552702186,0.961953958507263
"RHOB",0.318362583928024,99,FALSE,0.00800809744105925,0.630741226467567
"DDIT4L",0.317540175672283,100,FALSE,0.0165492399981971,0.834475471687762
"GRIN3A",0.317178860548328,101,FALSE,0.140492291149157,0.961953958507263
"MYOZ2",0.316955863562961,102,FALSE,0.0037313722928727,0.451267833937165
"PYGM",0.315538584274372,103,FALSE,0.0371882055457592,0.926605171946301
"SMOX",0.31505215639269,104,FALSE,0.01022533063846,0.703505939899855
"FHL1",0.313461333055662,105,FALSE,0.077839348112822,0.961953958507263
"LMOD2",0.313090532688046,106,FALSE,0.0245804046950332,0.843403251480126
"ATP1B1",0.312430090799008,107,FALSE,0.0395903880284029,0.938054891599708
"LTF",0.311477390790757,108,FALSE,0.412103222060336,0.962613387123402
"STEAP2",0.3107625695304,109,FALSE,0.05167528383127,0.960298373815857
"SAA1",0.309895387538796,110,FALSE,0.289111476967881,0.961953958507263
"KLF9",0.30902453196804,111,FALSE,0.000704662222114158,0.15896657758879
"TNNT1",0.308058856993911,112,FALSE,0.21878412951907,0.961953958507263
"MAOA",0.306682961123469,113,FALSE,0.079623503185066,0.961953958507263
"ANKRD1",0.304360509887238,114,FALSE,0.0279414319504123,0.870745496251231
"CFAP69",0.303692411616705,115,FALSE,0.0803146439561751,0.961953958507263
"SRMS",0.301786965663494,116,FALSE,0.0647284812537515,0.961953958507263
"TMCC3",0.301713555414874,117,FALSE,0.00596360769328937,0.554842733325108
"GPM6A",0.300158683242389,118,FALSE,0.0190422768816676,0.843403251480126
"ACSL3",0.299300342005483,119,FALSE,0.0397711726036012,0.938054891599708
"COX6A2",0.298574225434827,120,FALSE,0.0626310981651576,0.961953958507263
