"Gene","log2FC","rank","in_gene_set"
"TUBA4A",0.244303814236233,194,FALSE
"TOB1",0.243713836178522,195,FALSE
"SMKR1",0.24355063160497,196,FALSE
"NEXN",0.243414031778721,197,FALSE
"HSPB3",0.243050338005748,198,FALSE
"SPSB1",0.241968482293128,199,FALSE
"B4GALT1",0.241949316623376,200,FALSE
"TSKU",0.241946757379228,201,FALSE
"NRP1",0.241627112162489,202,FALSE
"CHPT1",0.2403374571769,203,FALSE
"SLC6A8",0.239654854055414,204,FALSE
"NFIC",0.239652661150015,205,FALSE
"ASB5",0.239273653264014,206,FALSE
"XIRP1",0.238840032891326,207,FALSE
"CLIP1",0.238074621888043,208,FALSE
"TBX1",0.236995487369403,209,FALSE
"DDX21",0.236809488498032,210,FALSE
"NEFH",0.236066318701968,211,FALSE
"KCNMA1",0.235977520344754,212,FALSE
"SMYD1",0.235847421026927,213,FALSE
"DEPTOR",0.235682529518639,214,FALSE
"MYF6",0.235314837655124,215,FALSE
"SLC39A10",0.234350426394155,216,FALSE
"PPP2R3A",0.233605053102403,217,FALSE
"NACC2",0.232791393543241,218,FALSE
"GGT1",0.232728638570672,219,FALSE
"KLHL40",0.231839468975121,220,FALSE
"PAEP",0.231607779082977,221,FALSE
"FAM83F",0.231229860749918,222,FALSE
"DUS1L",0.230844044165544,223,FALSE
"CROT",0.230820363073442,224,FALSE
"CWH43",0.230177968343793,225,FALSE
"PCDHB3",0.22964863600692,226,FALSE
"ADGRF5",0.229061833400315,227,FALSE
"PRKAR2B",0.22890675163428,228,FALSE
"CAP2",0.228667977766447,229,FALSE
"NXPE3",0.22822292840586,230,FALSE
"SLMAP",0.227380986285267,231,FALSE
"RHOU",0.226916370273035,232,FALSE
"SLC9A3R1",0.226754060815446,233,FALSE
"PLOD2",0.226270016861823,234,FALSE
"SEC24C",0.225732686664206,235,FALSE
"MTPN",0.225266235644846,236,FALSE
"SELENOM",0.223776341011515,237,FALSE
"BCL9L",0.223491999931263,238,FALSE
"CLSTN2",0.222934130895756,239,FALSE
"MAFF",0.222668353957696,240,FALSE
"SLC2A4",0.222654934598516,241,FALSE
"TGM4",0.222404236192621,242,FALSE
"MCCC2",0.222078279319312,243,FALSE
"PDE4D",0.221445919139861,244,FALSE
"SYNPO2L",0.221243419952714,245,FALSE
"MYOM1",0.220508317174005,246,FALSE
"TMEM47",0.220146894372031,247,FALSE
"MID1IP1",0.220118910770441,248,FALSE
"TSC22D3",0.219747341470295,249,FALSE
"GAS2L1",0.219431760306876,250,FALSE
"TMBIM1",0.219377529270888,251,FALSE
"LIMS1",0.219226420619708,252,FALSE
"SLC9A2",0.219206914229864,253,FALSE
"SLC2A5",0.218993464178482,254,FALSE
"PITX1",0.218833070953868,255,FALSE
"SLC25A10",0.217919841830907,256,FALSE
"ALDH1B1",0.217810549408447,257,FALSE
"PNCK",0.217443650389932,258,FALSE
"ATP2A2",0.217301634997391,259,FALSE
"KIAA1549",0.217180864292652,260,FALSE
"JPH2",0.216174140982221,261,FALSE
"CREB3L2",0.215900587862722,262,FALSE
"WNT2",0.21585162396231,263,FALSE
"TACC2",0.215327875154572,264,FALSE
"PCDHB5",0.214434705974925,265,FALSE
"CXCL13",0.214129896629631,266,FALSE
"AFF3",0.213982154328456,267,FALSE
"CDC42EP4",0.213976838478362,268,FALSE
"PHGR1",0.213701846333916,269,FALSE
"STEAP1",0.213636150543057,270,FALSE
"HACD2",0.213565580927775,271,FALSE
"ZNF467",0.213167042915619,272,FALSE
"SLC38A4",0.213074461087536,273,FALSE
"ANKRD34B",0.213036804828701,274,FALSE
"SRPK2",0.212938375973984,275,FALSE
"FAM210B",0.212862999769418,276,FALSE
"PLXNB3",0.211871040731992,277,TRUE
"ATP2A1",0.211396639578954,278,FALSE
"FBXO2",0.211184984135245,279,FALSE
"PFKM",0.210909778372134,280,FALSE
"MYOT",0.210877070664637,281,FALSE
"DUSP3",0.210302040231609,282,FALSE
"PPP1R12B",0.209551241713216,283,FALSE
"ATOH8",0.209412063925315,284,FALSE
"MAGEA3",0.209081276890574,285,FALSE
"TMC5",0.209058434814214,286,FALSE
"GREB1",0.208982660008659,287,FALSE
"IER5L",0.2089759262319,288,FALSE
"TES",0.208520321005192,289,FALSE
"EDA2R",0.20837973323215,290,FALSE
"DNAJB1",0.2083634066235,291,FALSE
"ZNF217",0.208066110164873,292,FALSE
"OLFM4",0.207923115488976,293,FALSE
"NKX3-1",0.207481990642668,294,FALSE
"MKNK2",0.207468044696569,295,FALSE
"ADGRG6",0.207388660489953,296,FALSE
"CBX6",0.207092376181341,297,FALSE
"PRICKLE3",0.206415325454659,298,FALSE
"CYP4F11",0.206194354826196,299,FALSE
"ZG16B",0.206139579136763,300,FALSE
"ORAI2",0.205995704053388,301,FALSE
"PMCH",0.205675306347921,302,FALSE
"NEK6",0.205481107260323,303,FALSE
"PPP1R12A",0.205159699310772,304,FALSE
"C19orf81",0.2047648915319,305,FALSE
"MYH1",0.204624271949993,306,FALSE
"VCL",0.204463923992291,307,FALSE
"CSAG1",0.204338684560867,308,FALSE
"SRL",0.204311201291432,309,FALSE
"BTG1",0.204190564061551,310,FALSE
"PRKAR2A",0.203741557456625,311,FALSE
"ACO2",0.203500992206617,312,FALSE
"ZFAND5",0.203466330957185,313,FALSE
"CRISP3",0.203432063929714,314,FALSE
"NPR3",0.20338892526571,315,FALSE
"MGST1",0.202605079052546,316,FALSE
"SLC2A1",0.202416011763485,317,FALSE
"ZNF106",0.202080448176925,318,FALSE
"MCRIP2",0.201896400647576,319,FALSE
"VWA1",0.201560769509273,320,FALSE
"PPTC7",0.20154528556715,321,FALSE
"MTDH",0.201444191292691,322,FALSE
"SERINC5",0.201161409084747,323,FALSE
"OPLAH",0.20020317378534,324,FALSE
"TESC",0.200074096947727,325,FALSE
"C1orf21",0.200036256932577,326,FALSE
"DNASE2B",0.199964083487747,327,FALSE
"GNAZ",0.199844781162266,328,FALSE
"TBX3",0.199298337098562,329,FALSE
"RB1",0.199275004379268,330,FALSE
"GTF2I",0.199237795729545,331,TRUE
"PI16",0.199195778938541,332,FALSE
"SLC12A2",0.199031016118608,333,FALSE
"CEBPD",0.198812432056074,334,FALSE
"TNS1",0.198804953053148,335,FALSE
